0.093589067,-0.313463807,0.752984583,0.094484955,-0.043578748,0.989338756,-0.101894498,-0.029059298,0.426798254,0.233643934,0.851846755,-0.576968253,-0.123421460,-0.129491016,-0.295601785,-0.285762221,0.424692154,-0.012311249,0.134999424,-0.011452920,-0.002386212,0.207092762,-0.780142307,0.084260672,-0.683858693,-0.132335737,-0.413606584,-0.010591156,0.000024201,-0.163383976,-0.579903126,-0.552065790,0.524745941,0.392630786,-0.004366663,-0.000018253
0.093570255,-0.313511014,0.753007174,0.094623417,-0.043681394,0.989308417,-0.102013700,-0.029013051,0.426935643,0.233277082,0.852188230,-0.576451540,-0.123414077,-0.129378974,-0.295483828,-0.285565108,0.425356299,-0.011216451,0.134986967,-0.011277111,-0.002481216,0.207017034,-0.780156672,0.084038623,-0.684066594,-0.132340208,-0.413601935,-0.010586102,0.000024249,-0.163583964,-0.579626799,-0.551699102,0.524640501,0.392585874,-0.004372790,-0.000018259
0.093806878,-0.313364506,0.752984524,0.094899990,-0.043700852,0.989285350,-0.101976015,-0.028990436,0.427133918,0.232976645,0.852541268,-0.576099694,-0.123399347,-0.129376560,-0.295250326,-0.285428464,0.425799102,-0.010638859,0.134962007,-0.011106832,-0.002744098,0.206903934,-0.780165017,0.083652355,-0.684391916,-0.132310614,-0.413605869,-0.010572278,0.000024342,-0.163964599,-0.579434931,-0.551167905,0.524447441,0.392493486,-0.004393175,-0.000018266
0.094053656,-0.313190222,0.752935886,0.095150642,-0.043738250,0.989271641,-0.101858631,-0.028999772,0.427412778,0.232694060,0.852924526,-0.575915217,-0.123377226,-0.129478142,-0.294927001,-0.285326600,0.426175654,-0.010350003,0.134924665,-0.010933922,-0.003159293,0.206840634,-0.780104637,0.083191253,-0.684784472,-0.132182375,-0.413618505,-0.010542409,0.000024443,-0.164434969,-0.579339802,-0.550525725,0.524231017,0.392350525,-0.004416938,-0.000018261
0.094286814,-0.313038945,0.752867579,0.095386244,-0.043785699,0.989259064,-0.101739243,-0.029032886,0.427681029,0.232397452,0.853368223,-0.575872183,-0.123347692,-0.129600883,-0.294633746,-0.285225570,0.426580936,-0.010211245,0.134875134,-0.010677422,-0.003536050,0.206777006,-0.779979825,0.082681216,-0.685212374,-0.131960586,-0.413634926,-0.010498438,0.000024507,-0.164963871,-0.579181612,-0.549702466,0.524020791,0.392163128,-0.004432494,-0.000018243
0.094458833,-0.312949419,0.752789140,0.095573090,-0.043847211,0.989248872,-0.101634331,-0.029061422,0.427889138,0.232110754,0.853831172,-0.575958192,-0.123310685,-0.129719108,-0.294407934,-0.285112500,0.426994145,-0.010179517,0.134813577,-0.010384814,-0.003846248,0.206622928,-0.779837072,0.082179032,-0.685569584,-0.131716505,-0.413661122,-0.010460805,0.000024587,-0.165515020,-0.579101324,-0.548789024,0.523811042,0.391917944,-0.004448968,-0.000018224
0.094623595,-0.312844366,0.752705693,0.095764279,-0.043893605,0.989237726,-0.101542242,-0.029066129,0.428075045,0.231815964,0.854281783,-0.576052308,-0.123266183,-0.129845068,-0.294215709,-0.285012066,0.427483261,-0.010230221,0.134740040,-0.010086922,-0.004076724,0.206381321,-0.779677689,0.081679173,-0.685852826,-0.131478682,-0.413701743,-0.010431800,0.000024709,-0.166016430,-0.579053998,-0.547787070,0.523648858,0.391616940,-0.004455385,-0.000018205
0.094792463,-0.312687367,0.752631128,0.095964752,-0.043922171,0.989224195,-0.101473339,-0.029064901,0.428276241,0.231478691,0.854673862,-0.576083541,-0.123214133,-0.129970267,-0.294007033,-0.284935594,0.428044200,-0.010355772,0.134654611,-0.009766829,-0.004323804,0.206043348,-0.779486358,0.081188411,-0.686069787,-0.131243601,-0.413758010,-0.010407690,0.000024830,-0.166491047,-0.579101801,-0.546716869,0.523512065,0.391254276,-0.004459957,-0.000018190
0.094993986,-0.312529325,0.752557337,0.096188799,-0.043938078,0.989206851,-0.101422936,-0.029077854,0.428441435,0.231126100,0.855093777,-0.576105058,-0.123154476,-0.130106449,-0.293839276,-0.284858346,0.428674966,-0.010477344,0.134557337,-0.009435250,-0.004670534,0.205627054,-0.779231846,0.080747411,-0.686198056,-0.131010577,-0.413834453,-0.010389162,0.000024919,-0.166976050,-0.579348743,-0.545633554,0.523377955,0.390823394,-0.004474613,-0.000018175
0.095198937,-0.312402874,0.752476513,0.096393876,-0.043953680,0.989191592,-0.101371922,-0.029126933,0.428560913,0.230792612,0.855559170,-0.576168299,-0.123087153,-0.130336329,-0.293734998,-0.284778029,0.429397643,-0.010621262,0.134448379,-0.009155878,-0.005080385,0.205230370,-0.778931260,0.080387220,-0.686183274,-0.130810112,-0.413933128,-0.010385315,0.000024974,-0.167381436,-0.579774678,-0.544575393,0.523312569,0.390340358,-0.004486751,-0.000018160
